x,y,z
4.51013,18.6973,10.0851
16.7351,3.4183,9.42577
0.496161,3.5699,7.2385
-8.69402,2.39166,0.298054
13.3008,-0.226476,13.2761
-3.73113,-24.0076,10.8834
-8.17963,-16.3598,2.6331
6.46718,16.2072,5.665
13.2569,-14.3597,10.1011
-0.889074,16.528,9.81647
4.18847,-18.1066,15.5949
-1.41674,-14.6491,1.42407
-0.126455,-8.91336,9.7583
-3.25798,-4.79335,11.8433
-10.3039,-13.2703,3.98067
-1.93022,-15.2766,1.57779
-14.8156,18.985,10.1985
-7.7854,-0.0619622,13.1377
10.5685,15.0414,11.365
-13.1822,9.39588,8.81881
1.3315,11.4043,7.79679
-2.6139,6.81445,2.33866
-2.20471,-17.7991,17.3569
-9.83979,15.9602,6.06074
4.83627,-1.4303,3.01388
6.45859,-16.7227,4.25049
18.8176,6.81134,5.61393
-13.4884,-10.7851,0.378461
19.8139,-9.77164,8.06852
-12.5257,-4.16176,2.1673
5.88883,-19.8022,4.31321
4.59763,13.6745,-11.5584
1.25077,7.9808,9.08318
15.9405,-0.930602,-3.91761
4.45447,15.6699,9.00224
10.6723,9.97905,4.39113
-17.669,3.03925,2.8509
-3.63074,6.39354,5.34975
0.696561,2.68959,11.0353
-4.23751,-0.0108264,-18.4348
-5.20082,-0.0875492,21.3808
-17.7482,-5.2873,-9.88497
1.63469,-6.38976,3.28035
-4.62843,23.5087,-4.48464
23.6357,4.36934,-5.73298
-12.965,-13.7669,0.442955
-10.8241,-12.8378,8.80538
2.36153,-9.95184,-2.65119
7.84103,1.78282,8.60863
-13.7243,8.67159,-0.18781
-12.9452,-11.8823,2.81349
-9.91155,-9.76384,5.97533
-4.22787,-1.60851,21.5822
8.58407,-1.99103,-4.01602
15.813,13.9953,1.08909
-10.7866,-5.90207,12.2314
3.29918,12.4008,12.1408
19.0712,-0.059772,-10.8619
6.82904,9.03953,24.5217
12.8973,4.43938,-19.4032
14.3944,-4.94203,0.844562
9.21863,-7.7656,-9.90442
14.3238,-6.18433,5.98596
11.6892,10.4027,7.17398
25.6329,5.38016,-7.36244
11.1922,6.04003,0.541124
-3.30828,17.7566,5.58248
1.4831,-6.25766,-8.25965
-15.2142,-13.3408,3.84369
-1.73078,0.842673,4.15283
2.44187,12.4413,27.4552
14.2366,12.1036,9.26613
5.98438,-4.1369,1.8645
7.5869,-15.3941,10.7942
7.27944,8.4328,11.0848
-12.3562,-22.1792,-5.77976
-7.28224,-16.0019,14.6274
0.859968,15.5968,-1.0118
4.42731,4.01072,19.1756
6.73357,1.77229,2.5563
-12.0671,-7.54429,2.07091
-16.7398,3.25385,13.048
16.4819,-5.04862,18.5831
-5.47307,-0.136461,-18.8627
9.20812,-13.5907,12.0918
-2.83415,-28.9641,8.22802
16.6328,8.15454,12.407
-14.1966,-11.6563,9.89187
7.3584,19.8697,0.157543
-8.2349,-9.40541,29.8968
18.9027,17.0644,2.15496
7.52141,-17.4572,2.18686
-16.4907,-13.5483,6.24386
3.41771,8.69591,-20.198
4.95889,12.4709,23.1058
-6.55267,-8.06939,9.76032
-4.52153,0.498577,10.8387
-15.4557,-0.0167348,18.3964
-1.69642,-3.67794,10.4143
14.9467,0.219327,6.39704
-5.57853,-13.2506,-20.2459
-5.70384,16.7428,9.54434
-12.2345,-7.65703,30.1983
1.79935,-5.98491,35.2403
6.59746,-17.6882,8.40895
-5.29531,0.796161,9.95986
4.72306,-11.3264,4.45626
16.7177,-0.442375,20.9536
-16.8797,11.6486,-1.97843
7.82555,7.63954,16.3988
4.86631,-3.76999,3.38662
15.1663,-6.48234,16.3935
-3.31814,-21.9841,15.2817
-10.4488,-18.4796,-8.95173
-14.0953,19.5624,23.5824
-24.5995,-1.2688,18.5286
15.2056,3.78958,-11.9756
4.30978,6.19133,5.98558
-5.36341,19.5907,7.77116
-16.4466,7.23931,-6.6034
7.41263,-11.8455,30.3008
-9.87191,15.3179,-4.75718
-18.5271,11.0089,-8.20941
18.0221,6.01331,7.02215
2.31656,-6.7503,0.317796
-24.1939,-1.19339,20.3182
-1.19459,7.36477,-13.4552
9.72298,1.99212,2.1974
18.1474,-6.82436,5.01609
-2.27006,-8.85746,10.6197
0.470788,-19.4899,16.5663
27.6971,-6.33123,-3.50844
7.27949,15.0472,7.30316
11.2836,16.006,28.2603
11.3524,6.74734,7.12555
8.34663,-11.4101,6.17409
-10.9092,10.0901,3.4251
-0.907802,18.7573,25.1585
14.0518,25.1147,6.57463
-13.3205,2.84019,-18.2559
-8.30173,3.12479,-1.36498
2.50141,11.9819,0.021499
0.751957,12.4545,-0.329815
-6.66693,-9.24254,-18.1054
-10.7444,-8.42264,10.7585
1.11592,-10.643,4.07724
8.20205,12.2984,-10.5538
7.3976,-11.7764,31.6136
-2.41911,-25.8175,3.73628
2.08215,0.889884,3.08244
9.46946,-2.8699,-5.53134
0.109664,13.3911,2.68764
21.8887,-8.26881,11.0412
-12.5644,17.5509,4.04353
-13.3134,17.4917,4.54728
-6.696,17.5034,16.1651
10.3236,-0.373162,3.07262
-5.1393,-15.4682,12.5128
19.0791,11.5701,-7.72732
10.3842,-8.54954,5.22976
-15.5349,-4.65468,2.34275
-1.88088,13.4156,3.1361
8.88504,-16.2972,2.62012
3.17654,13.5872,15.6918
8.37859,-5.0606,-3.87657
3.55943,1.80925,7.36628
5.60533,-13.5388,11.6995
5.89252,13.6363,2.58784
-6.34757,14.8456,-14.7796
-17.3529,-21.8292,-4.53654
-6.0337,9.15295,-13.7517
12.0018,-12.6925,27.7365
-10.3391,-9.74508,13.6703
27.482,6.48265,16.128
-26.8406,4.11597,14.786
-3.55733,-19.854,-10.1544
4.15983,24.4588,-2.76391
6.71822,-5.30693,-7.5688
-12.738,21.8296,-8.93192
-3.63343,-16.2788,2.5009
23.6114,-5.7873,2.39575
14.0781,4.73828,12.6945
7.23509,10.9937,10.2308
