x,y,z
0,0,6
10.5344,-0.631391,0
8.48325,-0.516784,0.1
9.71722,0.207911,0.2
9.3279,-0.141575,0.3
8.86998,1.19927,0.4
11.4036,1.20011,0.5
10.4482,-0.427971,0.6
8.32485,0.610461,0.7
11.2455,-1.15129,0.8
11.1316,-1.87769,0.9
9.15432,-0.570708,1
10.443,-0.227573,1.1
7.48956,0.377537,1.2
9.7142,-0.572934,1.3
9.47263,0.548627,1.4
11.2755,0.257584,1.5
9.14531,-1.76911,1.6
10.6965,-0.904843,1.7
9.98102,0.483327,1.8
12.2682,-1.08538,1.9
9.89228,0.549401,2
9.72842,1.91437,2.1
8.15442,-0.167249,2.2
11.0814,-1.22149,2.3
9.9583,-0.894223,2.4
9.90053,-1.00271,2.5
9.53287,1.21577,2.6
9.25215,-1.4107,2.7
10.5954,-0.0148014,2.8
11.0401,1.23218,2.9
11.2419,1.18572,3
9.09899,-0.0241235,3.1
10.4127,-0.30997,3.2
9.53527,0.588456,3.3
9.94106,1.80538,3.4
9.41715,-1.32284,3.5
11.038,-0.00114094,3.6
10.5498,-0.204051,3.7
9.59314,0.653302,3.8
9.21149,0.631965,3.9
10.3705,0.176822,4
10.658,-0.724873,4.1
11.4091,1.58001,4.2
9.78424,1.39985,4.3
9.588,0.052259,4.4
10.0149,-1.18646,4.5
10.1228,-0.336887,4.6
10.1229,-0.327617,4.7
10.4459,-0.631713,4.8
9.77167,0.451779,4.9
11.1114,0.00368402,5
8.11515,0.725761,5.1
8.82038,-0.0221866,5.2
9.49211,-0.198131,5.3
9.91235,0.264997,5.4
8.87146,0.71839,5.5
9.6806,-0.32069,5.6
11.7632,1.41951,5.7
10.3368,1.92177,5.8
9.84707,-0.817911,5.9
9.17081,0.481262,6
10.4257,1.12548,6.1
10.8164,1.16493,6.2
9.52345,0.248342,6.3
10.0504,-0.702101,6.4
10.407,-0.616291,6.5
9.19902,2.25943,6.6
10.1978,0.552406,6.7
9.0428,-1.04759,6.8
11.1808,-1.68252,6.9
9.73741,-0.095491,7
9.93094,0.0756913,7.1
11.1893,0.846472,7.2
10.696,0.00880421,7.3
8.38282,0.140696,7.4
8.94164,0.723052,7.5
7.49075,0.598663,7.6
10.5753,-0.172728,7.7
10.0102,-2.33307,7.79999
10.5544,-1.06623,7.89999
11.476,1.367,7.99999
9.07357,-0.131564,8.09999
9.3374,-0.478066,8.2
9.07778,-0.00927818,8.3
9.61304,-0.459711,8.4
9.45117,0.0791644,8.5
8.05384,-0.0500303,8.6
7.74148,0.340897,8.7
11.1671,1.56867,8.8
8.8927,0.623738,8.9
8.61662,-0.122949,9
9.57868,1.31392,9.1
10.1787,0.476231,9.2
8.96115,0.497739,9.3
11.4442,-0.416079,9.4
8.51948,-0.281161,9.5
10.5505,-0.991447,9.6
7.84134,1.31945,9.7
10.7356,0.0616144,9.8
11.5336,-1.42287,9.9
10.9216,-0.106222,10
8.79318,1.46172,10.1
9.63881,-0.462711,10.2
9.99779,-1.94548,10.3
10.1364,-1.3143,10.4
9.6262,0.845361,10.5
10.3768,1.19312,10.6
9.63965,0.105829,10.7
9.03193,-0.358213,10.8
9.43409,-0.0608449,10.9
9.97873,0.446456,11
9.90272,1.21697,11.1
10.1084,0.597806,11.2
11.4321,-1.22836,11.3
9.21958,0.79744,11.4
8.98518,-0.572129,11.5
10.2821,-0.864885,11.6
9.02954,0.298037,11.7
12.0903,-0.240565,11.8
11.1065,-0.511707,11.9
5.4097,7.47866,0
3.72736,8.23057,0.1
6.37993,9.46032,0.2
5.56864,9.67406,0.3
4.72767,10.2375,0.4
2.10639,8.71459,0.5
6.16314,9.65251,0.6
6.27507,9.25078,0.7
5.75246,7.92817,0.8
5.04882,7.77028,0.9
5.82916,7.33628,1
4.28891,7.31849,1.1
5.22695,10.2071,1.2
4.76198,8.74331,1.3
4.40799,8.69512,1.4
4.66594,8.79455,1.5
4.25128,9.14608,1.6
6.04572,7.94014,1.7
4.00746,10.3327,1.8
4.74257,8.4143,1.9
5.00369,7.53848,2
4.98067,9.33114,2.1
5.27003,9.27679,2.2
3.55298,9.82828,2.3
2.82324,8.03308,2.4
6.52086,7.89635,2.5
6.37647,9.08978,2.6
4.30724,9.32783,2.7
7.06234,9.71841,2.8
4.22484,9.06627,2.9
4.27435,9.1686,3
4.95802,9.27116,3.1
4.6805,8.26437,3.2
5.65396,8.86491,3.3
2.98173,9.17923,3.4
4.80761,9.51123,3.5
4.27072,9.13294,3.6
4.12439,8.15494,3.7
4.62136,8.71551,3.8
5.42419,8.81715,3.9
4.36733,7.51567,4
6.58848,9.22588,4.1
5.54704,7.18958,4.2
5.56511,9.43585,4.3
4.26062,8.80704,4.4
4.89926,8.51871,4.5
4.59347,7.45696,4.6
5.16872,9.60907,4.7
4.96996,9.07944,4.8
5.20246,11.5238,4.9
